N,종목명,현재가,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
661,황금에스티,"10,000",500,"1,600","16,000",3.51,"1,266,598",9.55,6.34
662,DL이앤씨우,"75,500","5,000","1,596","2,114",6.48,"6,583",N/A,N/A
663,한전산업,"4,895",500,"1,596","32,600",1.16,"198,208",11.68,16.20
664,KBSTAR 코스닥150선물레버리지,"13,000",0,"1,590","12,230",0.01,"61,938",N/A,N/A
665,코스맥스비티아이,"16,550",500,"1,589","9,604",5.07,"12,020",-24.70,-2.15
666,한국패러랠,"1,985",0,"1,588","80,020",0.00,"4,395",N/A,N/A
667,아모레G우,"24,650",500,"1,588","6,444",47.20,"55,165",228.24,N/A
668,신일전자,"2,235",500,"1,588","71,048",4.33,"951,404",19.78,11.08
669,유유제약,"10,150","1,000","1,581","15,577",0.72,"243,788",123.78,1.26
670,이수페타시스,"3,820","1,000","1,576","41,268",1.86,"372,244",-11.68,-19.14
671,이구산업,"4,710",500,"1,575","33,442",0.31,"5,779,906",82.63,1.86
672,일신석재,"2,030",500,"1,572","77,457",1.55,"532,911",253.75,1.22
673,KBSTAR 코스닥150,"13,255",0,"1,569","11,840",0.01,"12,047",N/A,N/A
674,KODEX 배당가치,"13,400",0,"1,568","11,700",0.00,"3,231",N/A,N/A
675,NPC,"4,255",500,"1,562","36,720",4.78,"100,454",9.48,6.53
676,보해양조,"1,135",500,"1,553","136,786",2.32,"2,846,118",87.31,2.22
677,윌비스,"2,360","1,000","1,552","65,772",2.28,"25,006,989",-60.51,-2.43
678,유니온머티리얼,"3,695",500,"1,552","42,000",0.57,"512,808",-115.47,-1.59
679,한국화장품제조,"34,200",500,"1,550","4,532",0.61,"18,595",-38.56,-8.72
680,NI스틸,"5,380",500,"1,539","28,600",0.76,"615,807",12.69,10.45
681,대성에너지,"5,590","1,000","1,537","27,500",1.73,"14,052",10.88,4.55
682,삼원강재,"3,840",500,"1,536","40,000",0.75,"280,937",18.92,3.84
